1	1510594120789	-0.946	-7.166	6.361	run10hz
2	1510594120831	-0.918	-7.153	6.32	run10hz
3	1510594120832	-0.973	-7.196	6.295	run10hz
4	1510594120850	-0.962	-7.172	6.372	run10hz
5	1510594120870	-0.932	-7.175	6.332	run10hz
6	1510594120890	-0.968	-7.196	6.385	run10hz
7	1510594120911	-0.937	-7.191	6.308	run10hz
8	1510594120931	-0.975	-7.176	6.338	run10hz
9	1510594120951	-0.934	-7.197	6.327	run10hz
10	1510594120971	-0.94	-7.196	6.355	run10hz
11	1510594120992	-0.955	-7.177	6.338	run10hz
12	1510594121012	-0.893	-7.178	6.327	run10hz
13	1510594121032	-0.913	-7.176	6.344	run10hz
14	1510594121052	-0.913	-7.156	6.313	run10hz
15	1510594121073	-0.926	-7.186	6.348	run10hz
16	1510594121093	-0.988	-7.167	6.326	run10hz
17	1510594121113	-0.909	-7.169	6.329	run10hz
18	1510594121133	-0.984	-7.148	6.353	run10hz
19	1510594121153	-0.951	-7.17	6.331	run10hz
20	1510594121173	-0.926	-7.184	6.323	run10hz
21	1510594121194	-0.953	-7.191	6.297	run10hz
22	1510594121214	-0.929	-7.186	6.292	run10hz
23	1510594121235	-0.953	-7.186	6.336	run10hz
24	1510594121254	-0.955	-7.208	6.301	run10hz
25	1510594121274	-0.932	-7.199	6.331	run10hz
26	1510594121295	-0.916	-7.196	6.305	run10hz
27	1510594121315	-0.927	-7.172	6.329	run10hz
28	1510594121335	-0.959	-7.194	6.318	run10hz
29	1510594121355	-0.945	-7.214	6.305	run10hz
30	1510594121375	-0.948	-7.209	6.328	run10hz
31	1510594121395	-0.949	-7.187	6.321	run10hz
32	1510594121416	-0.957	-7.19	6.345	run10hz
33	1510594121436	-0.958	-7.167	6.276	run10hz
34	1510594121456	-0.951	-7.205	6.326	run10hz
35	1510594121476	-0.953	-7.172	6.338	run10hz
36	1510594121497	-0.913	-7.206	6.314	run10hz
37	1510594121517	-0.946	-7.205	6.323	run10hz
38	1510594121537	-0.927	-7.14	6.381	run10hz
39	1510594121557	-0.915	-7.232	6.302	run10hz
40	1510594121577	-0.951	-7.233	6.258	run10hz
