Timestamp,X,Y,Z
0.017,-0.95768064,-0.21068974,9.691728
0.039,-0.8810662,-0.19153613,9.59596
0.06,-0.9002198,-0.2873042,9.768343
0.08,-0.86191255,-0.36391863,9.864111
0.101,-0.80445176,-0.22984335,9.768343
0.122,-0.86191255,-0.26815057,9.615113
0.143,-0.9002198,-0.24899697,9.710881
0.164,-0.97683424,-0.34476504,9.80665
0.184,-0.95768064,-0.47884032,9.768343
0.205,-0.97683424,-0.51714754,9.576806
0.226,-0.8810662,-0.42137948,9.38527
0.246,-0.8810662,-0.42137948,9.38527
0.268,-0.8810662,-0.42137948,9.38527
0.289,-0.9002198,0.0,9.232041
0.309,-1.091756,0.24899697,9.710881
0.332,-1.187524,0.15322891,9.940725
0.353,-1.3982137,-0.2873042,10.745176
0.374,-1.3407528,-0.30645782,10.208876
0.395,-1.0726023,0.21068974,9.557652
0.417,-0.9959879,0.6703764,9.59596
0.438,-1.091756,0.80445176,9.921572
0.459,-1.1683704,0.47884032,10.228029
0.483,-1.2449849,0.24899697,10.036493
0.504,-1.2449849,0.21068974,10.01734
0.524,-1.187524,0.076614454,9.749189
0.545,-0.9193734,0.2873042,9.404424
0.566,-0.9959879,0.42137948,9.366117
0.587,-1.0726023,0.4405331,9.366117
0.607,-1.3215992,0.4405331,9.4618845
0.628,-1.283292,0.42137948,9.423577
0.649,-1.283292,0.42137948,9.423577
0.67,-1.283292,0.42137948,9.423577
0.691,-1.1109096,0.82360536,9.404424
0.712,-1.2258313,0.97683424,9.844957
0.733,-1.2449849,1.0151415,9.883265
0.754,-1.2641385,0.7852981,9.902418
0.774,-1.3790601,0.593762,9.883265
0.795,-1.4365209,0.51714754,10.0748005
0.817,-1.6472107,0.5554548,10.304644
0.837,-1.532289,0.6512228,10.457872
0.858,-1.532289,0.6895301,10.55364
0.879,-1.6472107
0.899,-1.6472107,0.36391863,10.97502
0.92,-1.781286,-0.82360536,11.434707
0.941,-1.9345149,-1.0726023,11.492167
0.962,-1.3407528,-0.38307226,9.883265
0.983,-1.2258313,-0.13407528,9.4618845
1.004,-1.187524,0.3256114,9.730036
1.025,-1.3599066,0.13407528,10.055647
1.046,-1.1492168,-0.13407528,9.730036
1.066,-0.9959879,-0.30645782,9.232041
1.087,-0.70868367,-0.6512228,9.270349
1.108,-0.6512228,-0.82360536,9.59596
1.128,-0.51714754,-0.86191255,9.193734
1.149,-0.47884032,-0.82360536,9.38527
1.17,-0.53630114,-0.6512228,8.810662
1.191,-0.34476504,-0.114921674,8.676586
1.211,-0.38307226,0.057460837,8.90643
1.232,-0.36391863,-0.15322891,9.672574
1.254,-0.36391863,-0.15322891,9.672574
1.275,-0.86191255,-0.7469909,10.649408
1.296,-0.82360536,-0.6512228,9.710881
1.317,-0.70868367,-0.4596867,9.346963
1.337,-0.4405331,0.80445176,9.040505
1.36,-0.61291564,0.42137948,9.212888
1.381,-0.6895301,0.17238252,9.442731
1.402,-0.49799395,0.19153613,9.38527
1.423,-0.47884032,0.15322891,9.346963
1.443,-0.42137948,0.22984335,9.327809
1.464,-0.36391863,0.3256114,9.538499
1.485,-0.40222588,0.30645782,9.538499
1.506,-0.4405331,0.47884032,9.404424
1.526,-0.47884032,0.51714754,9.423577
1.547,-0.7469909,0.42137948,9.940725
1.568,-0.70868367,0.49799395,9.9790325
1.588,-0.6895301,0.63206923,9.768343
1.609,-0.51714754,0.7469909,9.576806
1.63,-0.42137948,0.6895301,9.672574
