"id","created","gyro_x","gyro_y","gyro_z"
"202","2017-11-20T16:33:21.528479Z","-0.057617","-0.022461","1.001953"
"203","2017-11-20T16:33:22.161126Z","-0.057617","-0.021484","1.001953"
"204","2017-11-20T16:33:22.794900Z","-0.057617","-0.022461","1.001953"
"205","2017-11-20T16:33:23.411707Z","-0.056641","-0.022461","1.000977"
"206","2017-11-20T16:33:24.088742Z","-0.057617","-0.021484","1.001953"
"207","2017-11-20T16:33:24.700605Z","-0.057617","-0.022461","1.001953"
"208","2017-11-20T16:33:25.310732Z","-0.057617","-0.022461","1.001953"
"209","2017-11-20T16:33:25.952527Z","-0.057617","-0.022461","1.001953"
"210","2017-11-20T16:33:26.584883Z","-0.057617","-0.022461","1.001953"
"211","2017-11-20T16:33:27.212924Z","-0.057617","-0.021484","1.00293"
"212","2017-11-20T16:33:27.891689Z","-0.056641","-0.021484","1.00293"
"213","2017-11-20T16:33:28.503162Z","-0.056641","-0.021484","1.001953"
"214","2017-11-20T16:33:29.091313Z","-0.056641","-0.022461","1.001953"
"215","2017-11-20T16:33:29.730957Z","-0.056641","-0.022461","1.001953"
"216","2017-11-20T16:33:30.368177Z","-0.057617","-0.021484","1.001953"
"217","2017-11-20T16:33:31.008806Z","-0.056641","-0.021484","1.001953"
"218","2017-11-20T16:33:31.635376Z","-0.056641","-0.021484","1.00293"
"219","2017-11-20T16:33:32.295530Z","-0.056641","-0.022461","1.001953"
"220","2017-11-20T16:33:32.898300Z","-0.056641","-0.021484","1.001953"
"221","2017-11-20T16:33:33.525974Z","-0.057617","-0.022461","1.00293"
"222","2017-11-20T16:33:34.165224Z","-0.056641","-0.022461","1.001953"
"223","2017-11-20T16:33:34.793919Z","-0.056641","-0.022461","1.00293"
"224","2017-11-20T16:33:35.455346Z","-0.057617","-0.022461","1.001953"
"225","2017-11-20T16:33:36.106712Z","-0.057617","-0.021484","1.001953"
"226","2017-11-20T16:33:36.699408Z","-0.056641","-0.021484","1.00293"
"227","2017-11-20T16:33:37.322820Z","-0.056641","-0.021484","1.001953"
"228","2017-11-20T16:34:12.443689Z","-0.056641","-0.022461","1.00293"
"229","2017-11-20T16:34:13.047447Z","-0.055664","-0.022461","1.00293"
"230","2017-11-20T16:34:13.709058Z","-0.056641","-0.022461","1.000977"
"231","2017-11-20T16:34:14.353174Z","-0.050781","0.023438","1.047852"
"232","2017-11-20T16:34:15.005061Z","0.207031","-0.194336","0.875977"
"233","2017-11-20T16:34:15.621111Z","-0.174805","-0.136719","0.924805"
"234","2017-11-20T16:34:16.226991Z","-0.59375","-0.009766","0.754883"
"235","2017-11-20T16:34:16.850125Z","-0.751953","-0.319336","-0.350586"
"236","2017-11-20T16:34:17.506408Z","-0.575195","-0.086914","-0.793945"
"237","2017-11-20T16:34:18.119326Z","-0.587891","0.027344","0.586914"
"238","2017-11-20T16:34:18.747140Z","-0.229492","0.236328","0.955078"
"239","2017-11-20T16:34:19.405028Z","-0.21875","0.232422","0.962891"
"240","2017-11-20T16:34:20.029332Z","-0.323242","-0.033203","0.929688"
"241","2017-11-20T16:34:20.639842Z","-0.344727","-0.114258","0.938477"
"242","2017-11-20T16:34:21.289481Z","-0.329102","-0.051758","0.942383"
"243","2017-11-20T16:34:21.910003Z","-0.316406","0.109375","0.974609"
"244","2017-11-20T16:34:22.553327Z","-0.447266","-0.319336","0.806641"
"245","2017-11-20T16:34:23.202739Z","-0.557617","-0.461914","0.689453"
"246","2017-11-20T16:34:23.814040Z","-0.614258","-0.610352","0.493164"
"247","2017-11-20T16:34:24.469868Z","-0.344727","-0.870117","-0.095703"
"248","2017-11-20T16:34:25.060761Z","-0.220703","0.061523","-0.96875"
"249","2017-11-20T16:34:25.697542Z","-0.792969","0.123047","-0.485352"
"250","2017-11-20T16:34:26.321142Z","0.269531","-0.573242","-0.134766"
"251","2017-11-20T16:34:26.962042Z","0.168945","-0.474609","-0.226562"
"252","2017-11-20T16:34:27.593119Z","-0.677734","-0.109375","-0.395508"
"253","2017-11-20T16:34:28.230523Z","-0.053711","-0.549805","-0.310547"
"254","2017-11-20T16:34:28.866218Z","0.239258","-0.829102","0.050781"
"255","2017-11-20T16:34:29.486263Z","-0.201172","-0.709961","0.115234"
"256","2017-11-20T16:34:30.124704Z","0.15918","-0.71875","0.171875"
"257","2017-11-20T16:34:30.758833Z","-0.438477","-0.625","0.587891"
"258","2017-11-20T16:34:31.391959Z","-0.145508","-0.777344","0.268555"
"259","2017-11-20T16:34:32.021635Z","-0.540039","-0.527344","0.269531"
