Timestamp,X,Y,Z
0.018,0.34476504,-9.672574,1.9728221
0.039,0.40222588,-9.691728,1.9536685
0.06,0.4596867,-9.65342,1.9153613
0.081,0.53630114,-9.65342,1.8387468
0.102,0.51714754,-9.672574,1.8770541
0.123,0.40222588,-9.672574,1.9728221
0.144,0.4405331,-9.65342,1.9536685
0.164,0.61291564,-9.65342,1.8195932
0.185,0.61291564,-9.65342,1.8195932
0.208,0.51714754,-9.672574,1.9153613
0.229,0.6703764,-9.65342,2.030283
0.25,0.51714754,-9.65342,2.0111294
0.271,0.593762,-9.615113,1.9153613
0.292,0.47884032,-9.634267,2.030283
0.313,0.47884032,-9.634267,2.030283
0.334,0.30645782,-9.634267,2.0111294
0.355,0.19153613,-9.634267,1.9919758
0.378,0.19153613,-9.634267,1.9919758
0.399,0.19153613,-9.691728,2.0494366
0.42,0.3256114,-9.615113,2.030283
0.441,0.34476504,-9.634267,1.9536685
0.462,0.36391863,-9.65342,1.9345149
0.483,0.47884032,-9.672574,2.030283
0.504,0.47884032,-9.672574,2.030283
0.524,0.6895301,-9.576806,1.7429788
0.545,0.51714754,-9.710881,1.8387468
0.566,0.5554548,-9.634267,1.9728221
0.586,0.3256114,-9.672574,1.8962077
0.607,0.40222588,-9.672574,1.8962077
0.628,0.51714754,-9.65342,1.7046715
0.648,0.51714754,-9.65342,1.7046715
0.669,0.34476504,-9.691728,1.8004396
0.69,0.36391863,-9.710881,1.6472107
0.711,0.36391863,-9.710881,1.6472107
0.732,0.42137948,-9.65342,1.7238251
0.754,0.4596867,-9.65342,1.7621324
0.774,0.4596867,-9.65342,1.7621324
0.795,0.3256114,-9.691728,1.7238251
0.816,0.26815057,-9.65342,1.7046715
0.837,0.34476504,-9.691728,1.6472107
0.858,0.34476504,-9.691728,1.6472107
0.879,0.6703764,-9.710881,1.5514426
0.9,0.593762,-9.787497,1.5705962
0.921,0.86191255,-9.691728,1.3599066
0.941,0.80445176,-9.787497,1.3982137
0.962,0.63206923,-9.710881,1.4173673
0.983,0.3256114,-9.825804,1.4173673
1.004,0.21068974,-9.787497,1.4556745
1.025,0.34476504,-9.730036,1.5131354
1.046,0.2873042,-9.768343,1.4365209
1.066,0.30645782,-9.787497,1.3982137
1.088,0.24899697
1.109,0.24899697,-9.691728,1.5131354
1.13,0.30645782,-9.672574,1.5897498
1.151,0.7661445,-9.730036,1.3982137
1.173,0.7469909,-9.691728,1.3790601
1.195,0.7469909,-9.691728,1.3790601
1.216,0.8810662,-9.672574,1.4748282
1.237,0.70868367,-9.768343,1.5705962
1.258,0.70868367,-9.768343,1.5705962
1.279,0.53630114,-9.710881,1.6089035
1.299,0.42137948,-9.710881,1.6280571
1.32,0.40222588,-9.749189,1.5514426
1.341,0.40222588,-9.749189,1.5514426
1.363,0.51714754,-9.730036,1.6663643
1.384,0.49799395,-9.730036,1.6472107
1.405,0.5746084,-9.691728,1.5897498
1.425,0.93852705,-9.691728,1.5131354
1.446,0.9193734,-9.672574,1.4939818
1.467,0.8810662,-9.65342,1.532289
1.488,0.6895301,-9.691728,1.6089035
1.509,0.82360536,-9.672574,1.6089035
1.53,0.80445176,-9.730036,1.5514426
1.551,0.7469909,-9.691728,1.4939818
1.572,0.6512228,-9.710881,1.6280571
1.593,0.30645782,-9.710881,1.4748282
1.614,0.30645782,-9.710881,1.4748282
1.635,0.8810662,-9.710881,1.5514426
1.655,0.9959879,-9.65342,1.5131354
1.676,0.9959879,-9.65342,1.5131354
1.697,0.49799395,-9.710881,1.6089035
1.719,0.9002198,-9.730036,1.5705962
1.74,0.97683424,-9.730036,1.532289
1.761,0.97683424,-9.730036,1.532289
1.782,0.7661445,-9.787497,1.6472107
1.803,0.72783726,-9.672574,1.6663643
1.824,0.72783726,-9.672574,1.6663643
1.844,0.4596867,-9.710881,1.7621324
1.865,0.6703764,-9.710881,1.7046715
1.886,0.5746084,-9.672574,1.6663643
1.907,0.17238252,-9.615113,1.7429788
1.928,0.13407528,-9.787497,1.8195932
1.949,0.95768064,-9.65342,1.6089035
1.97,0.9002198,-9.634267,1.6663643
1.991,0.40222588,-9.615113,1.6280571
2.012,0.114921674,-9.730036,1.7621324
2.033,0.30645782,-9.844957,1.7238251
2.054,1.3599066,-9.710881,1.3790601
2.076,1.5131354,-9.615113,1.3982137
2.097,0.9959879,-9.634267,1.5897498
2.118,0.13407528,-9.921572,1.8962077
2.14,0.34476504,-9.844957,1.8195932
2.161,1.2449849,-9.615113,1.7429788
2.182,1.2449849,-9.615113,1.7429788
2.203,0.6703764,-9.538499,2.0494366
2.224,0.19153613,-9.749189,2.0685902
2.245,0.19153613,-9.749189,2.0685902
2.266,0.26815057,-9.730036,2.0494366
2.288,0.4596867,-9.59596,2.2409728
2.309,0.36391863
2.33,0.34476504,-9.634267,2.1643581
2.351,0.82360536,-9.59596,1.9345149
2.372,0.9959879,-9.615113,1.9345149
2.392,1.2449849,-9.615113,1.9153613
2.413,1.2066776,-9.615113,2.0685902
2.434,1.3215992,-9.557652,1.9919758
2.455,1.3215992,-9.557652,1.9919758
2.476,1.0151415,-9.634267,1.9728221
2.497,1.0342951,-9.59596,1.9536685
2.518,0.9193734,-9.634267,1.9728221
2.539,0.70868367,-9.615113,2.1068974
2.56,0.86191255,-9.576806,2.0877438
2.581,0.80445176,-9.615113,2.030283
2.602,0.82360536
2.623,0.7469909,-9.634267,2.030283
2.644,0.6703764,-9.615113,2.030283
2.665,0.6703764,-9.615113,2.030283
2.686,0.86191255,-9.634267,1.9919758
2.707,0.9959879,-9.65342,1.8962077
2.728
2.749,0.86191255,-9.634267,2.5091233
2.77,0.95768064,-9.576806,2.0111294
2.791,0.82360536,-9.634267,2.1452045
2.812,0.82360536,-9.65342,2.126051
2.834,0.7852981,-9.730036,1.9345149
2.855,1.0726023,-9.538499,1.9919758
2.876,1.1492168,-9.615113,1.9153613
