Timestamp,X,Y,Z
0.014,1.4939818,-9.615113,1.4748282
0.035,1.3982137,-9.65342,1.3790601
0.056,1.283292,-9.710881,1.4173673
0.077,1.3215992,-9.710881,1.3982137
0.098,1.3790601,-9.672574,1.4365209
0.12,1.4173673,-9.710881,1.3790601
0.14,1.4173673,-9.710881,1.3790601
0.161,1.2449849,-9.672574,1.4939818
0.182,1.2258313,-9.672574,1.4939818
0.203,1.2258313,-9.672574,1.4939818
0.223,1.2449849,-9.672574,1.4365209
0.244,1.2449849,-9.672574,1.532289
0.266,1.283292,-9.65342,1.532289
0.288,1.283292,-9.65342,1.532289
0.309,1.2258313,-9.691728,1.4173673
0.33,1.3599066,-9.710881,1.4365209
0.35,1.3599066,-9.672574,1.4748282
0.371,1.3599066,-9.672574,1.3982137
0.392,1.4173673,-9.672574,1.3790601
0.413,1.4173673,-9.672574,1.3790601
0.434,1.3790601,-9.672574,1.3982137
0.455,1.4556745,-9.672574,1.3407528
0.476,1.4556745,-9.672574,1.3407528
0.497,1.3599066,-9.691728,1.3982137
0.518,1.2449849,-9.710881,1.3982137
0.539,1.2449849,-9.634267,1.4173673
0.56,1.1492168,-9.691728,1.3599066
0.58,1.2066776,-9.730036,1.3790601
0.602,1.3024457,-9.691728,1.4556745
0.623,1.3790601,-9.672574,1.3599066
0.643,1.2449849,-9.691728,1.3407528
0.664,1.3024457,-9.691728,1.3599066
0.685,0.95768064,-9.749189,1.283292
0.706,0.8810662,-9.749189,1.2066776
0.727,0.8810662,-9.749189,1.2066776
0.748,0.80445176,-9.864111,1.6280571
0.77,1.091756,-9.710881,1.6089035
0.791,2.1452045,-9.615113,1.2066776
0.812,2.1452045,-9.615113,1.2066776
0.833,1.5131354,-9.672574,1.4365209
0.854,1.4365209,-9.691728,1.4556745
0.875,1.4939818,-9.538499,1.9919758
0.896,1.4939818,-9.538499,1.9919758
0.917,1.532289,-9.576806,1.6472107
0.938,1.4939818,-9.557652,1.5897498
0.959,1.6663643,-9.576806,1.7046715
0.98,1.6663643,-9.576806,1.7046715
1.001,1.3982137,-9.615113,1.9728221
1.022,1.2066776,-9.672574,1.6855179
1.043,1.2449849,-9.65342,1.5897498
1.064,1.3215992,-9.691728,1.5514426
1.085,1.3599066,-9.615113,1.6855179
1.106,1.3599066,-9.615113,1.6855179
1.126,1.283292,-9.65342,1.6472107
1.147,1.4556745,-9.65342,1.5705962
1.168,1.4748282,-9.672574,1.6089035
1.189,1.2258313,-9.65342,1.6855179
1.21,1.0534487,-9.710881,1.7046715
1.231,1.0342951,-9.672574,1.7238251
1.252,1.0342951,-9.672574,1.7238251
1.273,1.4173673,-9.615113,1.7429788
1.295,1.4556745,-9.634267,1.7238251
1.316,1.3024457,-9.557652,1.6472107
1.338,1.283292,-9.691728,1.6663643
1.359,1.283292,-9.691728,1.6663643
1.38,1.4365209,-9.634267,1.7046715
1.401,1.4365209,-9.634267,1.7046715
1.422,1.2641385,-9.787497,1.6663643
1.443,1.283292,-9.634267,1.532289
1.464,1.283292,-9.634267,1.532289
1.485,1.4556745,-9.615113,1.7429788
1.506,1.3982137,-9.691728,1.7429788
1.528,1.5897498,-9.538499,1.6472107
1.549,1.2641385,-9.634267,1.781286
1.57,1.3215992,-9.576806,1.6855179
1.591,1.3982137,-9.59596,1.6472107
1.611,1.1683704,-9.65342,1.781286
1.632,1.1492168,-9.615113,1.8195932
1.653,1.1683704,-9.59596,2.0685902
1.674,1.1683704,-9.59596,2.0685902
1.695,1.3024457,-9.59596,1.9153613
1.716,1.4939818,-9.59596,1.8004396
1.736,1.5514426,-9.59596,1.8770541
1.757,1.4939818,-9.730036,1.8195932
1.778,1.3599066,-9.634267,1.6663643
1.799,1.2449849,-9.65342,1.6280571
1.82,1.2641385,-9.557652,1.7429788
1.841,1.2449849,-9.65342,1.7621324
1.862,1.2641385,-9.615113,1.8004396
1.882,1.2641385,-9.615113,1.8004396
1.903,1.187524,-9.634267,1.6855179
1.924,1.3024457,-9.710881,1.6663643
1.945,1.3024457,-9.710881,1.6663643
1.966,1.187524,-9.634267,1.5514426
1.987,1.2449849,-9.634267,1.5131354
2.008,1.2449849,-9.634267,1.5131354
2.03,1.5897498,-9.615113,1.3215992
2.051,1.6663643,-9.65342,1.1683704
2.072,1.781286,-9.730036,1.1683704
2.092,1.6663643,-9.615113,1.1300632
2.113,0.9193734,-9.768343,1.4365209
2.134,0.97683424,-9.730036,1.4173673
2.155,1.0726023,-9.710881,1.3215992
2.176,0.97683424,-9.768343,1.283292
2.196,0.9959879,-9.730036,1.2066776
2.221,1.2066776,-9.691728,1.091756
2.241,1.1109096,-9.749189,1.1109096
2.262,1.4173673,-9.634267,0.9193734
2.283,1.5514426,-9.749189,0.93852705
2.304,1.7429788,-9.59596,0.82360536
2.325,1.7046715,-9.691728,0.97683424
2.346,2.0494366,-9.768343,0.82360536
2.367,2.0494366,-9.768343,0.82360536
2.388,1.9919758,-9.672574,0.7852981
2.409,1.5705962,-9.672574,0.95768064
2.43,1.5705962,-9.672574,0.95768064
2.451,1.5131354,-9.749189,0.9959879
2.472,1.3790601,-9.710881,0.95768064
2.493,1.3790601,-9.710881,0.95768064
2.514,0.86191255,-9.787497,0.84275895
2.535,1.1683704,-9.730036,0.80445176
2.556,1.1683704,-9.730036,0.80445176
2.577,0.095768064,-9.787497,0.9959879
2.598,0.593762,-9.730036,1.0151415
2.619,1.1300632,-9.787497,0.7661445
2.64,1.5897498,-9.65342,0.70868367
2.661,1.8579005,-9.65342,0.72783726
2.682,1.9345149,-9.768343,0.6895301
2.703,1.9536685,-9.65342,0.86191255
2.724,2.1452045,-9.65342,0.7469909
2.745,2.183512,-9.576806,0.70868367
2.768,2.0685902,-9.634267,0.6512228
2.79,1.9536685,-9.65342,0.72783726
2.811,1.9536685,-9.65342,0.72783726
2.832,1.1492168,-9.864111,0.61291564
2.853,2.1068974,-9.65342,0.6703764
2.874,2.0111294,-9.576806,0.63206923
2.895,1.5514426,-9.730036,0.7469909
2.916,1.3599066,-9.749189,0.8810662
2.937,1.4748282,-9.691728,0.80445176
2.958,1.4748282,-9.691728,0.80445176
2.979,0.95768064,-9.80665,0.82360536
3.0,1.187524,-9.749189,0.6703764
3.021,1.187524,-9.749189,0.6703764
3.044,1.3982137,-9.730036,0.97683424
3.065,1.6663643,-9.691728,0.9193734
3.085,1.781286,-9.634267,0.95768064
3.107,1.8962077,-9.65342,0.9193734
3.128,1.8770541,-9.634267,0.95768064
3.149,1.9919758,-9.634267,1.0342951
3.169,2.030283,-9.65342,0.8810662
3.19,1.9919758,-9.576806,0.86191255
3.211,1.8962077,-9.691728,0.84275895
3.233,1.3982137,-9.672574,1.0151415
3.254,1.3215992,-9.710881,1.0342951
3.275,1.2641385,-9.691728,1.0342951
3.296,1.2641385,-9.691728,1.0342951
3.319,1.3024457,-9.691728,1.0342951
3.34,1.5514426,-9.672574,1.0534487
3.361,1.5514426,-9.672574,1.0534487
3.382,1.6472107,-9.691728,1.0534487
3.403
3.423,1.8195932,-9.59596,1.0342951
3.444,1.7046715,-9.672574,0.9959879
3.465,1.532289,-9.65342,1.0342951
3.486,1.5131354,-9.65342,1.091756
3.507,1.4748282,-9.710881,1.0726023
3.528,1.4556745,-9.710881,1.0726023
3.549,1.3599066,-9.672574,1.091756
3.57,1.3599066,-9.710881,0.97683424
3.591,1.4173673,-9.730036,1.0342951
3.612,1.3215992,-9.65342,1.0534487
3.633,1.1109096,-9.787497,1.1300632
3.654,1.3215992,-9.730036,0.9193734
3.675,1.3215992,-9.730036,0.9193734
3.696,1.3215992,-9.710881,0.9959879
3.716,1.3215992,-9.710881,0.9959879
3.737,1.3215992,-9.634267,1.091756
3.758,1.4556745,-9.691728,1.0726023
3.78,1.4556745,-9.691728,1.0726023
3.801,1.4173673,-9.65342,1.0534487
3.821,1.3024457,-9.710881,1.091756
3.842,1.2641385,-9.691728,1.091756
3.863,1.2449849,-9.65342,1.0726023
