Timestamp,X,Y,Z
0.023,0.61291564,-9.710881,1.4939818
0.045,0.593762,-9.768343,1.4173673
0.066,0.61291564,-9.749189,1.5705962
0.088,0.61291564,-9.749189,1.5705962
0.108,0.5554548,-9.730036,1.4939818
0.129,0.49799395,-9.749189,1.4556745
0.15,0.63206923,-9.730036,1.4748282
0.171,0.80445176,-9.730036,1.532289
0.192,0.7469909,-9.730036,1.532289
0.213,0.7852981,-9.672574,1.5514426
0.234,0.7852981,-9.672574,1.5514426
0.255,0.6512228,-9.672574,1.7046715
0.276,0.6895301,-9.710881,1.7238251
0.298,0.61291564,-9.691728,1.6089035
0.32,0.38307226,-9.749189,1.5705962
0.341,0.34476504,-9.730036,1.7046715
0.362,0.40222588,-9.749189,1.6089035
0.382,0.593762,-9.710881,1.6472107
0.403,0.51714754,-9.710881,1.7238251
0.424,0.51714754,-9.710881,1.7238251
0.445,0.42137948,-9.749189,1.6472107
0.467,0.47884032,-9.691728,1.6855179
0.488,0.47884032,-9.691728,1.6855179
0.509,0.3256114,-9.80665,1.4939818
0.529,0.40222588,-9.730036,1.7429788
0.55,0.47884032,-9.672574,1.6089035
0.571,0.86191255,-9.481038,1.7046715
0.592,0.42137948,-9.80665,1.3790601
0.613,0.61291564,-9.672574,1.7238251
0.634,0.53630114,-9.730036,1.8195932
0.655,0.51714754,-9.672574,1.6663643
0.676,0.26815057,-9.691728,1.6089035
0.697,0.7661445,-9.749189,1.6089035
0.717,0.5554548,-9.710881,1.781286
0.738,0.42137948,-9.730036,1.7238251
0.759,0.42137948,-9.730036,1.7238251
0.78,0.3256114,-9.691728,1.6855179
0.801,0.26815057,-9.749189,1.7238251
0.822,0.22984335,-9.730036,1.7046715
0.843,0.13407528,-9.749189,1.6472107
0.864,0.15322891,-9.749189,1.6280571
0.885,0.15322891,-9.768343,1.6472107
0.906,0.19153613,-9.768343,1.6280571
0.927,0.19153613,-9.80665,1.6089035
0.949,0.13407528,-9.749189,1.5897498
0.97,0.19153613,-9.749189,1.6280571
0.991,0.6512228,-9.691728,1.4939818
1.012,0.86191255,-9.615113,1.5514426
1.033,1.0151415,-9.825804,1.532289
1.054,1.0151415,-9.825804,1.532289
1.075,1.0726023,-9.65342,1.781286
1.096,1.6663643,-9.500192,1.7429788
1.117,1.6663643,-9.500192,1.7429788
1.138,1.1109096,-9.634267,1.8962077
1.161,1.1109096,-9.634267,1.9345149
1.182,1.1109096,-9.634267,1.9345149
1.203,0.97683424,-9.634267,2.1452045
1.225,0.93852705,-9.615113,2.2601264
1.247,0.93852705,-9.615113,2.2601264
1.267,0.80445176,-9.615113,2.183512
1.288,0.72783726,-9.576806,2.2601264
1.309,0.72783726,-9.576806,2.2026656
1.33,0.97683424,-9.557652,2.1452045
1.351,0.93852705,-9.576806,2.2601264
1.372,0.5554548,-9.634267,2.3367407
1.392
1.413,0.49799395,-9.59596,2.1643581
1.434,0.4405331,-9.691728,2.27928
1.454,0.63206923,-9.615113,2.27928
1.475,0.70868367,-9.634267,2.27928
1.496,0.70868367,-9.634267,2.27928
1.517,0.82360536,-9.557652,2.3367407
1.538,0.7661445,-9.576806,2.375048
1.559,0.7661445,-9.576806,2.375048
1.58,0.80445176,-9.576806,2.3942015
1.601,0.93852705,-9.576806,2.3367407
1.622,0.93852705,-9.576806,2.3367407
1.643,0.9959879,-9.519345,2.413355
1.664,1.091756,-9.557652,2.4899697
1.685,0.9959879,-9.538499,2.413355
1.706,1.1492168,-9.538499,2.3558943
1.727,0.82360536,-9.576806,2.413355
1.748,0.84275895,-9.576806,2.4899697
1.769,0.86191255,-9.557652,2.3367407
1.79,0.6703764,-9.59596,2.528277
1.811,0.6703764,-9.59596,2.528277
1.832,0.7661445,-9.557652,2.375048
1.853,0.82360536,-9.538499,2.375048
1.873,0.82360536,-9.538499,2.375048
1.894,0.84275895,-9.538499,2.3942015
1.915,0.9193734,-9.557652,2.3367407
1.937,0.95768064,-9.557652,2.3558943
1.958,1.1109096,-9.672574,2.2409728
1.979,0.95768064,-9.538499,2.5091233
2.0,0.84275895,-9.576806,2.413355
2.021,1.1492168,-9.538499,2.27928
2.042,1.1109096,-9.557652,2.27928
2.063,0.9959879,-9.576806,2.3558943
2.084,0.9959879,-9.538499,2.375048
2.106,0.97683424,-9.615113,2.432509
2.127,0.86191255,-9.557652,2.27928
2.148,0.86191255,-9.557652,2.27928
2.169,0.84275895,-9.576806,2.3367407
2.19,0.8810662,-9.557652,2.3942015
2.211,0.9002198,-9.519345,2.432509
2.232,0.9193734,-9.538499
2.253,0.13407528,-9.959879,2.3558943
2.274,0.86191255,-9.672574,2.3367407
2.295,0.86191255,-9.672574,2.3367407
2.316,1.0151415,-9.500192,2.5091233
2.337,0.9193734,-9.519345,2.4899697
2.358,0.9193734,-9.519345,2.4899697
2.379,0.7852981,-9.576806,2.5474305
2.399,0.7852981,-9.519345,2.432509
2.42,0.7852981,-9.557652,2.5091233
2.441,0.7852981,-9.538499,2.5474305
2.462,0.80445176,-9.557652,2.6048913
2.482,0.70868367,-9.557652,2.5474305
2.503,0.80445176,-9.538499,2.5474305
2.526,0.9002198,-9.4618845,2.4516625
2.546,0.86191255,-9.519345,2.4516625
2.568,0.84275895,-9.59596,2.566584
2.59,0.6512228,-9.557652,2.4708161
2.611,-0.22984335,-10.113108,2.432509
2.632,1.3982137,-9.519345,2.432509
2.653,0.9002198,-9.519345,2.5474305
2.673,0.9002198,-9.519345,2.5474305
2.694,0.6895301,-9.481038,2.528277
2.715,1.0726023,-9.270349,2.5474305
2.736,1.0726023,-9.270349,2.5474305
2.757,0.84275895,-9.4618845,2.4899697
2.778,1.3407528,-9.327809,2.6048913
2.799,1.1683704,-9.519345,2.432509
2.82,1.0151415,-9.500192,2.413355
2.842,1.0151415,-9.500192,2.413355
2.863,1.1683704,-9.481038,2.4708161
2.884,0.7852981,-9.691728,2.27928
2.906,0.5746084,-9.538499,2.5474305
2.927,0.49799395,-9.519345,2.566584
2.95,0.42137948,-9.615113,2.4516625
2.971,0.51714754,-9.615113,2.3942015
2.992,0.51714754,-9.519345,2.375048
3.013,0.30645782,-9.59596,2.3367407
3.034,0.30645782,-9.59596,2.3367407
3.057,0.86191255,-9.576806,2.2218192
3.078,1.3599066,-9.538499,1.9728221
3.098,1.3599066,-9.538499,1.9728221
3.119,0.95768064,-9.65342,2.0685902
3.141,1.3024457,-9.557652,1.8387468
3.161,1.4748282,-9.691728,1.781286
3.182,1.4748282,-9.691728,1.781286
3.203,1.4556745,-9.615113,1.7621324
3.224,0.9959879,-9.576806,1.8579005
3.246,0.9959879,-9.576806,1.8579005
3.267,1.0342951,-9.710881,1.8579005
3.288,0.8810662,-9.615113,1.7429788
3.309,0.80445176,-9.576806,1.6472107
3.33,0.49799395,-9.710881,1.781286
3.351,0.40222588,-9.691728,1.9536685
3.372,0.40222588,-9.691728,1.9536685
3.393,0.076614454,-9.768343,1.8195932
3.414,0.3256114,-9.634267,1.532289
3.435,0.3256114,-9.634267,1.532289
3.456,1.3599066,-9.65342,1.4748282
3.477,1.4939818,-9.672574,1.532289
3.498,1.6472107,-9.615113,1.4173673
3.519,2.126051,-9.65342,1.2258313
3.54,2.183512,-9.557652,1.3407528
3.562,1.8962077,-9.672574,1.4556745
3.582,1.6089035,-9.634267,1.6089035
3.603,1.6472107,-9.672574,1.5897498
3.624,1.8004396,-9.65342,1.4939818
3.644,1.7429788,-9.615113,1.4748282
