Timestamp,X,Y,Z
0.032,1.4173673,-9.59596,1.8770541
0.054,1.2258313,-9.59596,1.8004396
0.075,1.3790601,-9.615113,1.6855179
0.096,1.3790601,-9.615113,1.6855179
0.117,1.3790601,-9.59596,1.8387468
0.138,1.4748282,-9.59596,1.8387468
0.159,1.4748282,-9.59596,1.8387468
0.179,1.187524,-9.65342,1.9153613
0.2,1.283292,-9.672574,1.8387468
0.221,1.2258313,-9.710881,1.8770541
0.242,1.3599066,-9.65342,1.7621324
0.263,1.5131354,-9.634267,1.6855179
0.283,1.5705962,-9.59596,1.7046715
0.304,1.6663643,-9.538499,1.7621324
0.325,1.5514426,-9.615113,1.6089035
0.347,1.2641385,-9.749189,1.6280571
0.367,1.3599066,-9.672574,1.6472107
0.388,1.283292,-9.59596,1.7621324
0.409,1.2258313,-9.615113,1.7621324
0.43,1.2258313,-9.615113,1.7621324
0.451,1.1109096,-9.65342,1.7429788
0.472,1.2449849,-9.691728,1.7238251
0.493,1.2449849,-9.691728,1.7238251
0.514,1.6855179,-9.710881,1.6280571
0.535,1.187524,-8.925584,1.5897498
0.556,0.97683424,-9.634267,1.8195932
0.576,0.97683424,-9.634267,1.8195932
0.597,1.3215992,-9.519345,1.7429788
0.618,1.0534487,-9.634267,1.8195932
0.638,0.93852705,-9.691728,1.8195932
0.659,1.4748282,-9.576806,1.7429788
0.68,1.4748282,-9.538499,1.7621324
0.702,1.1492168,-9.710881,1.8195932
0.722,1.6089035,-9.519345,1.7238251
0.743,1.1109096,-9.749189,1.6855179
0.764,1.1492168,-9.710881,1.7429788
0.785,1.5131354,-9.538499,1.7429788
0.807,1.6855179,-9.557652,1.6089035
0.828,1.5705962,-9.59596,1.5705962
0.849,1.7046715,-9.423577,1.6663643
0.87,1.4748282,-9.59596,1.7429788
0.891,1.4365209,-9.59596,1.5705962
0.912,1.6472107,-9.538499,1.7621324
0.933,1.1492168,-9.768343,1.5897498
0.954,1.1683704,-9.749189,1.6089035
0.975,1.3599066,-9.615113,1.7429788
0.996,1.4365209,-9.615113,1.7429788
1.017,1.4556745,-9.65342,1.6855179
1.038,1.5514426,-9.730036,1.6855179
1.059,1.5514426,-9.672574,1.7238251
1.081,1.5705962,-9.538499,1.7621324
1.102,1.6855179,-9.576806,1.5514426
1.124,1.8387468,-9.500192,1.5705962
1.145,1.4365209,-9.38527,1.5514426
1.167,1.4365209,-9.38527,1.5514426
1.188,1.4556745,-9.902418,2.1068974
1.209,2.3558943,-11.377246,1.9345149
1.23,1.3407528,-8.619125,1.7046715
1.251,1.4748282,-9.500192,2.0494366
1.272,1.4748282,-9.500192,2.0494366
1.294,1.7046715,-9.481038,1.8004396
1.315,1.8195932,-9.4618845,1.7238251
1.336,1.6855179,-9.615113,2.2026656
1.357,2.126051,-9.404424,2.126051
1.38,1.9153613,-9.308656,2.2218192
1.402,1.4939818,-9.4618845,2.1068974
1.422,,,
1.444,1.3024457,-9.672574,1.532289
1.466,1.3024457,-9.672574,1.532289
1.489,1.3790601,-9.634267,1.8770541
1.51,1.5131354,-9.442731,1.9345149
1.531,1.1300632,-9.634267,1.7046715
1.551,0.9002198,-9.691728,1.7621324
1.572,1.5897498,-9.404424,1.9345149
1.594,1.6663643,-9.500192,2.0685902
1.615,1.6472107,-9.500192,2.030283
1.636,1.8195932,-9.4618845,1.8004396
1.657,1.8195932,-9.4618845,1.8004396
1.678,1.7621324,-9.538499,1.7429788
1.699,1.4173673,-9.710881,1.5705962
1.721,1.3982137,-9.576806,1.6472107
1.747,1.2258313,-9.65342,1.6472107
1.768,1.187524,-9.710881,1.8195932
1.794,1.187524,-9.710881,1.8195932
1.815,1.1109096,-9.634267,1.8004396
1.836,1.2258313,-9.59596,1.8579005
1.858,1.2258313,-9.59596,1.8579005
1.879,1.187524,-9.65342,1.8004396
1.9,1.1683704,-9.615113,1.8004396
1.92,1.2066776,-9.615113,1.7429788
1.942,1.3407528,-9.65342,1.7429788
1.962,1.3599066,-9.576806,1.7429788
